ATC	MEGNEV	ANGOL	HATOANYAG	KIHIRDETES_ID
"-"	"Ismeretlen"	"Unknown"		1001
"000"				1001
"00000"				1001
"000000"	"friss bíbor kasvirág virágos hajtás présleve"	"növényi atc"		1001
"01M"				1001
"01MA1"				1001
"03A"				1001
"03AE0"				1001
"A"	"tápcsatorna és anyagcsere"	"alimentary tract and metabolism"		1001
"A01"	"fogászati készítmények"	"stomatological preparations"		1001
"A01A"	"fogászati készítmények"	"stomatological preparations"		1001
"A01AA"	"fogszuvasodást megelõzõ szerek"	"caries prophylactic agents"		1001
"A01AA01"	"nátrium-fluorid"	"sodium fluoride"	"nátrium-fluorid"	1001
"A01AA02"	"sodium monofluorophosphate"	"sodium monofluorophosphate"	"sodium monofluorophosphate"	1001
"A01AA03"	"olaflur"	"olaflur"	"olaflur"	1001
"A01AA04"	"stannous fluoride"	"stannous fluoride"	"stannous fluoride"	1001
"A01AA20"				1001
"A01AA30"	"fogszuvasodást megelõzõ kombinációk"	"combinations"	"fogszuvasodást megel?z? kombinációk"	1001
"A01AA51"	"sodium fluorid kombinációk"	"sodium fluoride, combinations"	"sodium fluorid kombinációk"	1001
"A01AB"	"antiinfektív szerek a száj helyi kezeléséhez"	"antiinfectives and antiseptics for local oral treatment"		1001
"A01AB02"	"hydrogen peroxide"	"hydrogen peroxide"	"hydrogen peroxide"	1001
"A01AB03"	"chlorhexidine"	"chlorhexidine"	"chlorhexidine"	1001
"A01AB04"	"amphotericin"	"amphotericin"	"amphotericin"	1001
"A01AB05"	"polynoxylin"	"polynoxylin"	"polynoxylin"	1001
"A01AB06"	"domiphen"	"domiphen"	"domiphen"	1001
"A01AB07"	"oxyquinoline"	"oxyquinoline"	"oxyquinoline"	1001
"A01AB08"	"neomycin"	"neomycin"	"neomycin"	1001
"A01AB09"	"miconazole"	"miconazole"	"miconazole"	1001
"A01AB10"	"natamycin"	"natamycin"	"natamycin"	1001
"A01AB11"	"egyéb antiinfektiv szerek a száj kezelésében"	"various"	"egyéb antiinfektiv szerek a száj kezelésében"	1001
"A01AB12"	"hexetidine"	"hexetidine"	"hexetidine"	1001
"A01AB13"	"tetracycline"	"tetracycline"	"tetracycline"	1001
"A01AB14"	"benzoxonium chloride"	"benzoxonium chloride"	"benzoxonium chloride"	1001
"A01AB15"	"tibezonium iodide"	"tibezonium iodide"	"tibezonium iodide"	1001
"A01AB16"	"mepartricin"	"mepartricin"	"mepartricin"	1001
"A01AB17"	"metronidazole"	"metronidazole"	"metronidazole"	1001
"A01AB18"	"clotrimazole"	"clotrimazole"	"clotrimazole"	1001
"A01AB19"	"sodium perborate"	"sodium perborate"	"sodium perborate"	1001
"A01AB20"	"antiinfektív kombinációk a száj kezelésében"		"antiinfektív kombinációk a száj kezelésében"	1001
"A01AB21"	"chlortetracycline"	"chlortetracycline"	"chlortetracycline"	1001
"A01AB22"	"doxycyclin"		"doxycyclin"	1001
"A01AB23"	"minocycline"	"minocycline"	"minocycline"	1001
"A01AB59"				1001
"A01AB69"	"szalicilkolin"		"szalicilkolin"	1001
"A01AC"	"kortikoszteroidok helyi szájkezeléshez"	"corticosteroids for local oral treatment"		1001
"A01AC01"	"triamcinolone"	"triamcinolone"	"triamcinolone"	1001
"A01AC02"	"dexamethasone"	"dexamethasone"	"dexamethasone"	1001
"A01AC03"	"hydrocortisone"	"hydrocortisone"	"hydrocortisone"	1001
"A01AC54"	"prednisolone, combinations"	"prednisolone, combinations"	"prednisolone, combinations"	1001
"A01AD"	"egyéb készítmények helyi szájkezeléshez"	"other agents for local oral treatment"		1001
"A01AD01"	"epinephrine"	"epinephrine"	"epinephrine"	1001
"A01AD02"	"benzydamine"	"benzydamine"	"benzydamin"	1001
"A01AD05"	"acetylsalicylic acid"	"acetylsalicylic acid"	"acetylsalicylic acid"	1001
"A01AD06"	"adrenalone"	"adrenalone"	"adrenalone"	1001
"A01AD07"	"amlexanox"		"amlexanox"	1001
"A01AD11"	"egyéb"	"various"	"egyéb"	1001
"A02"	"antacidumok, peptikus fekély- és felfúvódás-elleni készítmények"	"antacids, drugs for treatment of peptic ulcer and flatulence"		1001
"A02A"	"antacidok"	"antacids"		1001
"A02AA"	"magnézium-vegyületek"	"magnesium compounds"		1001
"A02AA01"	"magnesium carbonate"	"magnesium carbonate"	"magnesium carbonate"	1001
"A02AA02"	"magnesium oxide"	"magnesium oxide"	"magnesium oxide"	1001
"A02AA03"	"magnesium peroxide"	"magnesium peroxide"	"magnesium peroxide"	1001
"A02AA04"	"magnézium-hidroxid"	"magnesium hydroxide"	"magnézium-hidroxid"	1001
"A02AA05"	"magnesium silicate"	"magnesium silicate"	"magnesium silicate"	1001
"A02AA10"	"combinations"	"combinations"	"combinations"	1001
"A02AA19"				1001
