ID	NEV	KIHIRDETES_ID
1	"ISMERETLEN"	1001
1011	"ALAPANYAG"	1001
1012	"FONO"	1001
1013	"GALENIKUM"	1001
1014	"GYÓGYKÖNYVI GALENIKUM"	1001
1024	"EGYKOMPONENSÛ HOMEOPÁTIÁS"	1001
48355	"ABAKTAL"	1001
48356	"ABELCET"	1001
48357	"ABILIFY"	1001
48358	"ACCUPRO"	1001
48359	"ACCUZIDE"	1001
48360	"ACEOMEL"	1001
48361	"ACEPRAMIN"	1001
48362	"ACEPRIL"	1001
48363	"ACICLOVIR AL"	1001
48364	"ACICLOVIR LICONSA"	1001
48365	"ACIPHEN"	1001
48366	"ACLASTA"	1001
48367	"ACLOTIN"	1001
48368	"ACTILYSE"	1001
48369	"ACTONEL"	1001
48370	"ACTOVEGIN"	1001
48372	"ADALAT"	1001
48373	"ADALAT GITS"	1001
48374	"ADAMON SR"	1001
48375	"ADDAMEL"	1001
48376	"ADEBIT"	1001
48377	"ADENOCOR"	1001
48378	"ADEXOR MR"	1001
48379	"ADIMET"	1001
48381	"AERIUS"	1001
48382	"AEROX"	1001
48383	"AERRANE"	1001
48384	"AFLAMIN"	1001
48385	"AGEN"	1001
48386	"AGGRASTAT"	1001
48387	"AKINETON"	1001
48388	"AKNEMYCIN"	1001
48390	"AKTIFERRIN"	1001
48391	"AKTIL"	1001
48392	"AL 110"	1001
48393	"ALENDROMAX"	1001
48394	"ALENDRON HEXAL"	1001
48395	"ALENDRONAT-RATIOPHARM"	1001
48396	"ALEXAN"	1001
48397	"ALFARÉ"	1001
48399	"ALFUZOSIN SANDOZ"	1001
48400	"ALGOPYRIN"	1001
48402	"ALIMTA"	1001
48403	"ALITRAQ"	1001
48404	"ALKALIGEN"	1001
48405	"ALKCEMA"	1001
48406	"ALMAGEL"	1001
48407	"ALOMIDE"	1001
48408	"ALOXI"	1001
48409	"ALPHA D3"	1001
48410	"ALPHA D3 TEVA"	1001
48411	"ALPHAGAN"	1001
48412	"ALPREM"	1001
48413	"ALPROSTAPINT"	1001
48414	"ALSOY"	1001
48415	"ALTIVA"	1001
48416	"ALUSULIN"	1001
48417	"ALVESCO"	1001
48418	"AMBISOME"	1001
48419	"AMBROBENE"	1001
48420	"AMBROXOL-Q"	1001
48421	"AMIKIN"	1001
48422	"AMILORID COMP"	1001
48423	"AMILOZID-B"	1001
48424	"AMINOMIX"	1001
48425	"AMINOPHYLLINUM-RETARD"	1001
48426	"AMINOPLASMAL"	1001
48428	"AMINOVEN"	1001
48429	"AMIPRID"	1001
48430	"SOLIAN"	1001
48431	"AMITREX"	1001
48432	"AMLIPIN"	1001
48433	"AMLODEP"	1001
48434	"AMLODIGAMMA"	1001
48435	"AMLODIPIN 1A PHARMA"	1001
48436	"AMLODIPIN BRIL"	1001
48437	"AMLODIPIN HEXAL"	1001
48438	"AMLODIPIN-RATIOPHARM"	1001
48439	"AMLODOWIN"	1001
48440	"AMLOZEK"	1001
48441	"AMOCLAN HEXAL"	1001
48442	"AMOCLAV 1A PHARMA"	1001
48443	"AMOXICILLIN-B"	1001
48444	"AMPHOCIL"	1001
48445	"AMPRILAN"	1001
48446	"ANAFRANIL"	1001
48447	"ANALOG LCP"	1001
48449	"ANANDRON"	1001
48450	"ANDAXIN"	1001
48451	"ANDRIOL"	1001
48452	"ANDROCUR"	1001
48453	"ANEMET"	1001
48454	"ANEXATE"	1001
48455	"ANGELIQ"	1001
48456	"ANTAETHYL"	1001
48457	"ANTITHROMBIN"	1001
48458	"ANTIVOM"	1001
48459	"ANXIRON"	1001
48460	"APADEX"	1001
48461	"APIDRA"	1001
48462	"APLATIC"	1001
48463	"APO-FAMOTIDIN"	1001
48464	"APO-FLUOXETIN"	1001
48465	"APODEPI"	1001
48466	"APRANAX"	1001
48467	"APROVEL"	1001
48469	"APTIVUS"	1001
48470	"APYDAN"	1001
48471	"AQUA DESTILLATA"	1001
48472	"AQUA DESTILLATA PM"	1001
48473	"ARANESP"	1001
48474	"ARAVA"	1001
48475	"ARDUAN"	1001
48476	"AREDIA"	1001
48477	"ARICEPT"	1001
48478	"ARIMIDEX"	1001
48479	"ARMIX"	1001
48480	"COVEREX-AS"	1001
48481	"AROMASIN"	1001
48482	"ARTHROFLUOR"	1001
48483	"ARUCLONIN"	1001
48484	"ARUTIMOL"	1001
48485	"ASA EP"	1001
48486	"ASACOL"	1001
48487	"ASASANTIN"	1001
48488	"ASENTRA"	1001
48489	"ASPIRIN"	1001
48490	"ASTONIN-H"	1001
48491	"ASTRIX"	1001
48492	"ATACAND"	1001
48493	"ATARAX"	1001
48494	"ATENATIV"	1001
48495	"ATENOBENE"	1001
48496	"ATENOLOL AL"	1001
48497	"ATENOLOL PHARMAVIT"	1001
48498	"ATENOLOL-AL"	1001
48499	"ATENOMEL"	1001
48500	"ATIMOS"	1001
48501	"ATORIS"	1001
48502	"ATORVA"	1001
48503	"ATORVASTATIN HEXAL"	1001
48504	"ATORVOX"	1001
48505	"ATROPINUM SULFURICUM"	1001
48506	"ATROVENT"	1001
48507	"AUGMENTIN"	1001
48508	"AURORIX"	1001
48509	"AVAGLIM"	1001
48510	"AVANDAMET"	1001
48511	"AVANDIA"	1001
48512	"AVASTIN"	1001
48513	"AVAXIM"	1001
48514	"AVELOX"	1001
48515	"AVONEX"	1001
48516	"AWESTATIN"	1001
48517	"AZI SANDOZ"	1001
48518	"AZICID"	1001
48519	"AZITHROMYCIN-RATIOPHARM"	1001
48520	"AZOPT"	1001
48521	"BACLOFEN"	1001
48522	"BACLOFEN-POL"	1001
48523	"BACTROBAN"	1001
48524	"BALANSOL"	1001
48525	"BARACLUDE"	1001
48526	"BATRAFEN"	1001
48527	"BEBA"	1001
48528	"BECLONASAL"	1001
48529	"BEGRIVAC"	1001
48530	"BEN-U-RON"	1001
48531	"BENFOGAMMA"	1001
48532	"BERIATE"	1001
48533	"BERINERT"	1001
48534	"BERININ"	1001
48535	"BERIPLAST"	1001
48536	"BERIPLEX"	1001
48537	"BERLIPRIL"	1001
48538	"BERODUAL"	1001
48539	"BEROTEC"	1001
48540	"BETADINE"	1001
48541	"BETAFERON"	1001
48542	"BETAGEN"	1001
48543	"BETAHISTIN-RATIOPHARM"	1001
48544	"BETALOC"	1001
48545	"BETASERC"	1001
48546	"BETOPTIC"	1001
48547	"BEZALIP"	1001
48548	"BICALUTAMID-RATIOPHARM"	1001
48549	"BICATLON"	1001
48550	"BICNU"	1001
48551	"BILUTAMID"	1001
48552	"BIOSTIN"	1001
48553	"BISEKO"	1001
48554	"BISOBLOCK"	1001
48555	"BISOCARD"	1001
48556	"BISOGAMMA"	1001
48557	"BISOGEN"	1001
48558	"BISOPROLOL HEXAL"	1001
48559	"BISOPROLOL-RATIOPHARM"	1001
48560	"BLEMAREN-N"	1001
48561	"BLEOCIN"	1001
48563	"BLOCALCIN"	1001
48564	"BLOKIUM"	1001
48565	"BONDRONAT"	1001
48566	"BONEFOS"	1001
48568	"BOTOX"	1001
48570	"BREXIN"	1001
48571	"BRICANYL"	1001
48572	"BRINALDIX"	1001
48574	"BRULAMYCIN"	1001
48575	"BSS"	1001
48576	"BUCAIN"	1001
48577	"BUDENOFALK"	1001
48578	"BUDESOGEN"	1001
48580	"BUVENTOL"	1001
48582	"BÉRES B6 VITAMIN"	1001
48584	"BÉRES CALCIUM"	1001
48585	"C-VITAMIN"	1001
48586	"CAELYX"	1001
48588	"CALCIJEX"	1001
48589	"CALCIMUSC"	1001
48591	"CALCIUM PHARMAVIT"	1001
48592	"CALCIUMFOLINAT-EBEWE"	1001
48593	"CALCO"	1001
48594	"CALOGEN"	1001
48596	"CALYPSOL"	1001
48598	"CAMPTO"	1001
48599	"CANCIDAS"	1001
48601	"CANESTEN"	1001
48602	"CAPTOGAMMA"	1001
48603	"CARBIDOPA-LEVODOPA-B"	1001
48604	"CARBO ACTIVATUS"	1001
48605	"CARBOPLATIN ""EBEWE"""	1001
48607	"CARDILOPIN"	1001
48608	"CARDIOXANE"	1001
48609	"CARDISORB"	1001
48610	"CARDURA"	1001
48612	"CARVEDILOL HEXAL"	1001
48613	"CARVEDILOL-RATIOPHARM"	1001
48614	"CARVOL"	1001
48616	"CATAFLAM"	1001
48617	"CAVINTON"	1001
48619	"CECLORETTA"	1001
48621	"CEFACLOR AL"	1001
48623	"CEFAZOLIN"	1001
48624	"CEFOBID"	1001
48625	"CEFOTAX"	1001
48627	"CEFURIN"	1001
48628	"CEFZIL"	1001
48630	"CELLCEPT"	1001
48631	"CEREBRYL"	1001
48633	"CERTICAN"	1001
48635	"CETAZIME"	1001
48636	"CETIGEN"	1001
48638	"CETIRIZIN-EP"	1001
48639	"CETIRIZIN-RATIOPHARM"	1001
48640	"CETRIN"	1001
48641	"CETRIPHARM"	1001
48643	"CHINIDINUM"	1001
48644	"CHINOPAMIL-R"	1001
48645	"CHINOTAL"	1001
48646	"CHIROCAINE"	1001
48648	"CHOLAGOL"	1001
48650	"CIFLOXIN"	1001
48651	"CIFRAN"	1001
48652	"CILOXAN"	1001
48654	"CIPHIN"	1001
48656	"CIPRALEX"	1001
48657	"CIPRINOL"	1001
48659	"CIPROFLOXACIN 1A PHARMA"	1001
48660	"CIPROFLOXACIN KABI"	1001
48662	"CIPROFLOXACIN-RATIOPHARM"	1001
48663	"CIPROLEN"	1001
48665	"CISORDINOL"	1001
48666	"CISPLATIN-EBEWE"	1001
48667	"CISPLATIN-TEVA"	1001
48669	"CITALODEP"	1001
48671	"CITALOPRAM PLIVA"	1001
48672	"CITALOPRAM-RATIOPHARM"	1001
48673	"CITALOWIN"	1001
48674	"CITAPRAM"	1001
48676	"CLAFORAN"	1001
48677	"CLARITHROMYCIN-RATIOPHARM"	1001
48678	"CLARITINE"	1001
48680	"CLIMEN"	1001
48681	"CLIVARIN"	1001
48683	"CLONAZEPAM"	1001
48684	"CLOSANASOL"	1001
48686	"CLOTRIMAZOL"	1001
48687	"CO-AMOXI-RATIOPHARM"	1001
48688	"CO-ENALAPRIL HEXAL"	1001
48690	"CO-PRENESSA"	1001
48691	"CO-RENITEC"	1001
48692	"COAPROVEL"	1001
48693	"COAXIL"	1001
48695	"COGNITIV"	1001
48696	"COLFARIT"	1001
48699	"COMBIVIR"	1001
48701	"COMTAN"	1001
48703	"CONDROSULF"	1001
48705	"CONTRAMAL"	1001
48706	"CONTRAMAL GRÜNENTHAL"	1001
48708	"CONVULEX"	1001
48709	"COPAXONE"	1001
48711	"CORDAFLEX"	1001
48712	"CORDARONE"	1001
48714	"CORMAGNESIN"	1001
48715	"COROTROPE"	1001
48716	"CORPRIL"	1001
48717	"CORTEF"	1001
48718	"CORVATON"	1001
48719	"CORYOL"	1001
48720	"COSOPT"	1001
48721	"COTRIPHARM"	1001
48722	"COVEREX"	1001
48723	"COVIOGAL"	1001
48724	"COZAAR"	1001
48725	"CREMOR"	1001
48726	"CRESTOR"	1001
48727	"CRIXIVAN"	1001
48728	"CUBITAN"	1001
48729	"CURAM"	1001
48730	"CURIOSIN"	1001
48731	"CUROSURF"	1001
48732	"CUSIMOLOL"	1001
48733	"CUTIVATE"	1001
48734	"CYCLOPLATIN"	1001
48735	"CYDONIN"	1001
48736	"CYMBALTA"	1001
48737	"CYMEVENE"	1001
48738	"CYNT"	1001
48739	"CYPROMIX"	1001
48740	"CYTOSAR"	1001
48741	"CYTOTECT"	1001
48742	"CYTOXAN"	1001
48743	"DACARBAZIN"	1001
48744	"DALACIN"	1001
48745	"DALACIN C"	1001
48746	"DALSAN"	1001
48747	"DANOVAL"	1001
48748	"DANTROLEN"	1001
48749	"DAUNOBLASTINA"	1001
48750	"DECAPEPTYL"	1001
48751	"DELAGIL"	1001
48752	"DEMALGON"	1001
48753	"DEMALGONIL"	1001
48754	"DENTOCAR"	1001
48755	"DEPAKINE"	1001
48756	"DEPO-MEDROL"	1001
48757	"DEPRAL"	1001
48758	"DEPRESSAN"	1001
48759	"DEPREXIN"	1001
48760	"DEPRIDOL"	1001
48761	"DERMESTRIL"	1001
48762	"DERMOVATE"	1001
48763	"DERMYC"	1001
48764	"DESFERAL"	1001
48765	"DESMOPRESS FERRING"	1001
48766	"DETERGENS"	1001
48767	"DHC CONTINUS"	1001
48768	"DI-ADRESON"	1001
48769	"DIALOSA"	1001
48770	"DIANE"	1001
48771	"DIAPHYLLIN"	1001
48772	"DIAPREL"	1001
48773	"DIASIP"	1001
48774	"DIASON"	1001
48775	"DIAZEPAM"	1001
48776	"DIBEN"	1001
48777	"DICETEL"	1001
48778	"DICLAC"	1001
48779	"DICLOFENAC AL"	1001
48780	"DICLOFENAC PHARMAVIT"	1001
48781	"DICLOFENAC STADA"	1001
48782	"DICLOFENAC-B"	1001
48783	"DICLOFENAC-PP"	1001
48784	"DICLOFENAC-RATIOPHARM"	1001
48785	"DICLOMEL"	1001
48786	"DICYNONE"	1001
48787	"DICYNONE-BIOGAL"	1001
48788	"DIFFERIN"	1001
48789	"DIFFUMAX EASYHALER"	1001
48790	"DIFLUCAN"	1001
48791	"DIGIFUNGIN"	1001
48792	"DIGIMERCK"	1001
48793	"DIGOXIN"	1001
48794	"DILATREND"	1001
48795	"DILRENE"	1001
48796	"DILZEM"	1001
48797	"DIOVAN"	1001
48798	"DIPANKRIN"	1001
48799	"DIPEPTIVEN"	1001
48800	"DIPHEDAN"	1001
48801	"DIPHERELINE"	1001
48802	"DIPRIVAN"	1001
48803	"DIPROPHOS"	1001
48804	"DIPROSALIC"	1001
48805	"DITROPAN"	1001
48806	"DIVASCAN"	1001
48807	"DIVIGÉL"	1001
48808	"DIVINA"	1001
48809	"DOBUTAMIN HEXAL"	1001
48810	"DOLARGAN"	1001
48811	"DOLOR"	1001
48812	"DOMPERIDON-EP"	1001
48813	"DONA"	1001
48814	"DONALGIN"	1001
48815	"DOPAMIN ADMEDA"	1001
48816	"DORMICUM"	1001
48817	"DOXAGAL"	1001
48818	"DOXAZOSIN HEXAL"	1001
48819	"DOXAZOSIN-RATIOPHARM"	1001
48820	"DOXICARD"	1001
48821	"DOXILEK"	1001
48822	"DOXIUM"	1001
48823	"DOXORUBICIN ""EBEWE"""	1001
48824	"DOXORUBICIN-TEVA"	1001
48825	"DOXYCYCLIN AL"	1001
48826	"DOXYCYCLIN-CHINOIN"	1001
48827	"DOXYPHARM"	1001
48828	"DOXYPROTECT"	1001
48829	"DROPERIDOL"	1001
48830	"DUELLIN"	1001
48831	"DUOMOX"	1001
48832	"DUOPRIL"	1001
48833	"DUOTRAV"	1001
48834	"DUPHASTON"	1001
48835	"DURACEF"	1001
48836	"DUROGESIC"	1001
48837	"DYSPORT"	1001
48838	"E-Z-CAT"	1001
48839	"E-Z-GAS"	1001
48840	"E-Z-HD"	1001
48841	"EASIPHEN"	1001
48842	"EBIXA"	1001
48843	"EBRANTIL"	1001
48844	"ECHOVIST"	1001
48845	"ECOSAL"	1001
48846	"EDNYT"	1001
48847	"EDRONAX"	1001
48848	"EFECTIN"	1001
48849	"EFFLUMIDEX"	1001
48850	"EGIFERON"	1001
48851	"EGIFILIN"	1001
48852	"EGILOK"	1001
48853	"ELECTROLYT-SZEGÉNY BIOTEST HUMAN ALBUMIN"	1001
48854	"ELEMENTAL"	1001
48855	"ELENIUM"	1001
48856	"ELIDEL"	1001
48857	"ELIGARD"	1001
48858	"ELIXIRIUM THYMI COMPOSITUM NATURLAND"	1001
48859	"ELMETACIN"	1001
48860	"ELMEX"	1001
48861	"ELOCOM"	1001
48862	"ELOXATIN"	1001
48863	"ELVEN"	1001
48864	"EMADINE"	1001
48865	"EMETRON"	1001
48866	"EMREN"	1001
48868	"EMSOGEN"	1001
48869	"EMTRIVA"	1001
48870	"ENALAPRIL 1A PHARMA"	1001
48871	"ENALAPRIL HEXAL"	1001
48872	"ENALAPRIL-RATIOPHARM"	1001
48873	"ENAP"	1001
48874	"ENAPRIL"	1001
48875	"ENBREL"	1001
48876	"ENCEPUR"	1001
48877	"ENDOBULIN"	1001
48878	"ENDOXAN"	1001
48879	"ENGERIX-B"	1001
48880	"ENHANCIN"	1001
48881	"ENSURE"	1001
48882	"ENTOCORT"	1001
48883	"EPANUTIN"	1001
48884	"EPIRUBICIN ""EBEWE"""	1001
48885	"EPITRIGINE"	1001
48886	"EPIVIR"	1001
48887	"EPOLAR"	1001
48888	"EPREX"	1001
48889	"ERBITUX"	1001
48890	"ERGAM"	1001
48891	"ERGOTOP"	1001
48892	"ERIGON"	1001
48893	"EROLIN"	1001
48894	"ERYC"	1001
48895	"ERYTHROMYCIN LACTOBIONAT"	1001
48896	"ERYTHROTROP"	1001
48897	"ESMERON"	1001
48898	"ESTRACOMB"	1001
48899	"ESTRACYT"	1001
48900	"ESTRADERM"	1001
48901	"ESTRAGEST"	1001
48902	"ESTRAMON"	1001
48903	"ESTRIMAX"	1001
48904	"ESTROFEM"	1001
48905	"ESTULIC"	1001
48906	"ETOMIDAT-LIPURO"	1001
48907	"ETOPOSID ""EBEWE"""	1001
48908	"ETOPOSIDE-TEVA"	1001
48909	"EUPHYLONG"	1001
48910	"EUTHYROX"	1001
48911	"EVISTA"	1001
48912	"EXACYL"	1001
48913	"EXELON"	1001
48914	"EZETROL"	1001
48915	"FABRAZYME"	1001
48916	"FAKTOR VII BAXTER"	1001
48917	"FAMOTIDIN 1A PHARMA"	1001
48918	"FAMOTIDIN HEXAL"	1001
48920	"FANHDI"	1001
48921	"FANTOMALT"	1001
48923	"FARMORUBICIN"	1001
48924	"FASLODEX"	1001
48926	"FEFLUZIN"	1001
48927	"FEIBA"	1001
48929	"FELODIPIN 1A PHARMA"	1001
48930	"FELODIPIN HEXAL"	1001
48932	"FELODIPIN-WINTHROP"	1001
48933	"FEMARA"	1001
