ID	NEV	ERV_KEZD	ERV_VEGE	KIHIRDETES_ID
1	"Ismeretlen"	2015.01.01	2099.12.31	1001
100	"ExtractumPharma Zrt."	2015.01.01	2099.12.31	1001
101	"Pharmamagist Kft."	2015.01.01	2099.12.31	1001
104	"ratiopharm Hungária Kft."	2015.01.01	2099.12.31	1001
106	"IBSA Pharma Kft."	2015.01.01	2099.12.31	1001
108	"Medicine and Business Kereskedelmi és Üzletviteli Tanácsadó Kft."	2015.01.01	2099.12.31	1001
109	"Satco Kereskedelmi Kft."	2015.01.01	2099.12.31	1001
110	"Medico Uno Kft."	2015.01.01	2099.12.31	1001
111	"Strathmann AG & CO Közvetlen Kereskedelmi Képviselete"	2015.01.01	2099.12.31	1001
113	"Mediner Egészségügyi, Szolgáltató és Szervezõ Korlátolt Felelõsségû Társaság"	2015.01.01	2099.12.31	1001
114	"MEDITOP Kft."	2015.01.01	2099.12.31	1001
115	"Chauvin Ankerpharm GmbH Magyarországi Közvetlen Kereskedelmi Képviselete"	2015.01.01	2099.12.31	1001
1156	"AC Helcor Hungary Kft."	2015.01.01	2099.12.31	1001
1157	"APS Berk Ltd."	2015.01.01	2099.12.31	1001
1159	"CHEM-EAST Kereskedelmi Kft."	2015.01.01	2099.12.31	1001
116	"Hipp Kft."	2015.01.01	2099.12.31	1001
1161	"Dr. Köhler Chemie GmbH"	2015.01.01	2099.12.31	1001
1162	"Europharm Trade Kft."	2015.01.01	2099.12.31	1001
1163	"Ewopharma AG Magyarországi Kereskedelmi Képviselete"	2015.01.01	2099.12.31	1001
1165	"Galena GmbH Deutschland Gyógyszer Kereskedelmi Képviselet"	2015.01.01	2099.12.31	1001
1166	"Galenica"	2015.01.01	2099.12.31	1001
1167	"Pharmacologic Kft."	2015.01.01	2099.12.31	1001
1168	"Pharmacenter Hungary Kft"	2015.01.01	2099.12.31	1001
117	"HUMAN Gyógyszergyártó Zrt."	2015.01.01	2099.12.31	1001
1170	"RADAYDRUG Szolgáltató, Tanácsadó és Innovációs Kft."	2015.01.01	2099.12.31	1001
1172	"DABUR ONCOLOGY Magyarország Kft."	2015.01.01	2099.12.31	1001
1174	"Sandoz Hungária Kereskedelmi Kft."	2015.01.01	2099.12.31	1001
1175	"Sanofi Pasteur GmbH Magyarországi Kereskedelmi Képviselete"	2015.01.01	2099.12.31	1001
1178	"Astellas Pharma Kft."	2015.01.01	2099.12.31	1001
1179	"Pharma-Marketing Szolgáltató és Kereskedelmi Kft."	2015.01.01	2099.12.31	1001
1180	"Chemische Fabrik Promonta"	2015.01.01	2099.12.31	1001
1181	"EBEWE Pharma Ges. m. b. H. Nfg. KG Kereskedelmi Képviselete"	2015.01.01	2099.12.31	1001
1182	"MEDA PHARMA HUNGARY Kft."	2015.01.01	2099.12.31	1001
1183	"NARCO-MED Bt."	2015.01.01	2099.12.31	1001
1184	"OZONE LABORATORIES MAGYARORSZÁG Kft."	2015.01.01	2099.12.31	1001
1185	"PHARMA PATENT Kereskedelmi, Tanácsadó és Szolgáltató Korlátolt Felelõsségû Társaság "	2015.01.01	2099.12.31	1001
1186	"POLCOMMERCE Kereskedelmi és Képviseleti Korlátolt Felelõsségû Társaság"	2015.01.01	2099.12.31	1001
1187	"Robapharm"	2015.01.01	2099.12.31	1001
1189	"Schwarz Pharma AG"	2015.01.01	2099.12.31	1001
119	"INTHERA Kft."	2015.01.01	2099.12.31	1001
1190	"ZELION Pharma Gyógyszergyártó Korlátolt Felelõsségû Társaság"	2015.01.01	2099.12.31	1001
1193	"Imuna Pharm a.s."	2015.01.01	2099.12.31	1001
1194	"K & B MEDI-GALEN Kft."	2015.01.01	2099.12.31	1001
120	"Baxter Hungary Amerikai Egészségügyi Kft."	2015.01.01	2099.12.31	1001
1200	"B. H. B. PHARMA Bt."	2015.01.01	2099.12.31	1001
